"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","LAMONT SCHOOL DISTRICT - 264 Position 4 at Large","Chet Swift"," ","0","0","School"
"Adams","LAMONT SCHOOL DISTRICT - 264 Position 4 at Large","WRITE-IN"," ","0","0","School"
"Adams","LAMONT SCHOOL DISTRICT - 264 Position 5 at Large","Tommi Swannack"," ","0","0","School"
"Adams","LAMONT SCHOOL DISTRICT - 264 Position 5 at Large","WRITE-IN"," ","0","0","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #03","Rick Martin"," ","4","100","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #03","WRITE-IN"," ","0","0","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #05 At Large","Kacy Campos"," ","4","100","School"
"Adams","Warden School Dist #146 SCHOOL DIRECTOR #05 At Large","WRITE-IN"," ","0","0","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 1","Kelli E. Camp"," ","573","49.5246","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 1","Aaron Gerber"," ","580","50.1296","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 1","WRITE-IN"," ","4","0.3457","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 2","Chris Baginski"," ","1013","99.2165","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director District 2","WRITE-IN"," ","8","0.7835","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director Position 5 - at large","Thalia D. Lemus-Deleon"," ","535","47.1781","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director Position 5 - at large","Isauro Pruneda Jr."," ","595","52.4691","School"
"Adams","SCHOOL DISTRICT 147 - OTHELLO Director Position 5 - at large","WRITE-IN"," ","4","0.3527","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 1","Rosemary Elkington"," ","65","21.1039","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 1","Breanne Williamson"," ","242","78.5714","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 1","WRITE-IN"," ","1","0.3247","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 4","Gregory Schmunk"," ","233","94.7154","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 4","WRITE-IN"," ","13","5.2846","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 5","Kevin Starring"," ","202","66.6667","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 5","Vernon Shepard"," ","100","33.0033","School"
"Adams","SCHOOL DISTRICT 158 - LIND Director Position 5","WRITE-IN"," ","1","0.33","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Director District 2","Reid M Phillips"," ","681","98.6957","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Director District 2","WRITE-IN"," ","9","1.3043","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Director District 4","Erin Repp"," ","665","98.3728","School"
"Adams","SCHOOL DISTRICT 160 - RITZVILLE Director District 4","WRITE-IN"," ","11","1.6272","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 1","Judi Ringwood"," ","0","0","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 1","WRITE-IN"," ","0","0","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 2","Clay Wilken"," ","0","0","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 2","WRITE-IN"," ","0","0","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 4","Tracey Korthuis"," ","0","0","School"
"Adams","SPRAGUE SCHOOL DISTRICT 008 DIRECTOR NO. 4","WRITE-IN"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 1 at Large","Jana Mathia"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 1 at Large","WRITE-IN"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 3 at Large","Marvin R. Schmick"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 3 at Large","WRITE-IN"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 5 at Large","Nancy Anderson"," ","0","0","School"
"Adams","ENDICOTT SCHOOL DISTRICT - 308 Position 5 at Large","WRITE-IN"," ","0","0","School"
"Adams","TOWN OF HATTON Mayor","Rhea Isaac"," ","16","53.3333","City/Town"
"Adams","TOWN OF HATTON Mayor","WRITE-IN"," ","14","46.6667","City/Town"
"Adams","TOWN OF HATTON Council Position 2","Barbara Pence"," ","16","53.3333","City/Town"
"Adams","TOWN OF HATTON Council Position 2","WRITE-IN"," ","14","46.6667","City/Town"
"Adams","TOWN OF HATTON Council Position 4","Eric Rawson"," ","16","53.3333","City/Town"
"Adams","TOWN OF HATTON Council Position 4","WRITE-IN"," ","14","46.6667","City/Town"
"Adams","TOWN OF HATTON Council Position 5","Linda Anderson"," ","16","53.3333","City/Town"
"Adams","TOWN OF HATTON Council Position 5","WRITE-IN"," ","14","46.6667","City/Town"
"Adams","TOWN OF LIND Council Position 4","Jamie Schmunk"," ","133","64.878","City/Town"
"Adams","TOWN OF LIND Council Position 4","Myra J. Horton"," ","69","33.6585","City/Town"
"Adams","TOWN OF LIND Council Position 4","WRITE-IN"," ","3","1.4634","City/Town"
"Adams","TOWN OF LIND Council Position 5","Jim Weidemann"," ","155","75.6098","City/Town"
"Adams","TOWN OF LIND Council Position 5","James N. Dworshak"," ","47","22.9268","City/Town"
"Adams","TOWN OF LIND Council Position 5","WRITE-IN"," ","3","1.4634","City/Town"
"Adams","CITY OF OTHELLO Council Position 4","Eugene Bain"," ","309","49.5192","City/Town"
"Adams","CITY OF OTHELLO Council Position 4","Darryl Barnes"," ","313","50.1603","City/Town"
"Adams","CITY OF OTHELLO Council Position 4","WRITE-IN"," ","2","0.3205","City/Town"
"Adams","CITY OF OTHELLO Council Position 5","Danae Valdez Gonzales"," ","507","98.8304","City/Town"
"Adams","CITY OF OTHELLO Council Position 5","WRITE-IN"," ","6","1.1696","City/Town"
"Adams","CITY OF OTHELLO Council Position 6","Mark Thomas Snyder"," ","546","99.2727","City/Town"
"Adams","CITY OF OTHELLO Council Position 6","WRITE-IN"," ","4","0.7273","City/Town"
"Adams","CITY OF OTHELLO Council Position 7","Angel Garza"," ","480","95.4274","City/Town"
"Adams","CITY OF OTHELLO Council Position 7","WRITE-IN"," ","23","4.5726","City/Town"
"Adams","CITY OF RITZVILLE Mayor","Scott Yaeger"," ","389","62.945","City/Town"
"Adams","CITY OF RITZVILLE Mayor","Cory W. Bartlett"," ","228","36.8932","City/Town"
"Adams","CITY OF RITZVILLE Mayor","WRITE-IN"," ","1","0.1618","City/Town"
"Adams","CITY OF RITZVILLE Council Ward 1","Jessica Quinn"," ","387","66.4948","City/Town"
"Adams","CITY OF RITZVILLE Council Ward 1","Dede Boyer"," ","192","32.9897","City/Town"
"Adams","CITY OF RITZVILLE Council Ward 1","WRITE-IN"," ","3","0.5155","City/Town"
"Adams","CITY OF RITZVILLE Council Ward 2","Garrett Alan Blauert"," ","445","97.1616","City/Town"
"Adams","CITY OF RITZVILLE Council Ward 2","WRITE-IN"," ","13","2.8384","City/Town"
"Adams","CITY OF RITZVILLE Council Ward 4","Dennis R Chamberlain"," ","412","94.2792","City/Town"
"Adams","CITY OF RITZVILLE Council Ward 4","WRITE-IN"," ","25","5.7208","City/Town"
"Adams","CITY OF RITZVILLE Council at Large 2yr","Jen Verhey"," ","458","76.0797","City/Town"
"Adams","CITY OF RITZVILLE Council at Large 2yr","Marsha  Reimers Smith"," ","142","23.588","City/Town"
"Adams","CITY OF RITZVILLE Council at Large 2yr","WRITE-IN"," ","2","0.3322","City/Town"
"Adams","TOWN OF WASHTUCNA Mayor","Brett D. Guske"," ","65","80.2469","City/Town"
"Adams","TOWN OF WASHTUCNA Mayor","Carisha Smith"," ","16","19.7531","City/Town"
"Adams","TOWN OF WASHTUCNA Mayor","WRITE-IN"," ","0","0","City/Town"
