"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","LEGISLATIVE DISTRICT 15 State Senator","WRITE-IN"," ","8","0.3623","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","Bruce Chandler","(Prefers Republican Party)","1742","96.724","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","WRITE-IN"," ","59","3.276","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","Bryan Sandlin","(Prefers Republican Party)","1727","96.6965","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","WRITE-IN"," ","59","3.3035","Legislative"
"Adams","Adams Assessor","Veronica Rodriguez","(Prefers Republican Party)","3293","97.4837","County"
"Adams","Adams Assessor","WRITE-IN"," ","85","2.5163","County"
"Adams","Adams Auditor","Heidi K. Hunt","(Prefers Republican Party)","3385","97.6348","County"
"Adams","Adams Auditor","WRITE-IN"," ","82","2.3652","County"
"Adams","Adams Clerk","Katie Sloan","(Prefers Republican Party)","3315","97.9321","County"
"Adams","Adams Clerk","WRITE-IN"," ","70","2.0679","County"
"Adams","Adams County Commissioner District 3","Miguel A. &quot;Mike&quot; Garza","(Prefers Republican Party)","1882","50.0932","County"
"Adams","Adams County Commissioner District 3","Terry Thompson","(Prefers Republican Party)","1824","48.5494","County"
"Adams","Adams County Commissioner District 3","WRITE-IN"," ","51","1.3575","County"
"Adams","Adams Prosecutor","Randy J. Flyckt","(Prefers Republican Party)","3008","93.4452","County"
"Adams","Adams Prosecutor","WRITE-IN"," ","211","6.5548","County"
"Adams","Adams Sheriff","Dale J. Wagner","(Prefers republican Party)","2180","55.4849","County"
"Adams","Adams Sheriff","Matthew Carlson","(Prefers Republican Party)","1710","43.5225","County"
"Adams","Adams Sheriff","WRITE-IN"," ","39","0.9926","County"
"Adams","Adams Treasurer","Kayla M. Meise","(Prefers Republican Party)","3316","98.0195","County"
"Adams","Adams Treasurer","WRITE-IN"," ","67","1.9805","County"
"Adams","SUPREME COURT Justice Position #01","Mary I. Yu"," ","2766","97.189","Judicial"
"Adams","SUPREME COURT Justice Position #01","WRITE-IN"," ","80","2.811","Judicial"
"Adams","SUPREME COURT Justice Position #05","Barbara Madsen"," ","2763","97.598","Judicial"
"Adams","SUPREME COURT Justice Position #05","WRITE-IN"," ","68","2.402","Judicial"
"Adams","SUPREME COURT Justice Position #06","G. Helen Whitener"," ","2726","97.6711","Judicial"
"Adams","SUPREME COURT Justice Position #06","WRITE-IN"," ","65","2.3289","Judicial"
"Adams","Court of Appeals, Division 3, District 2 Judge Position 1","George Fearing"," ","2784","97.7185","Judicial"
"Adams","Court of Appeals, Division 3, District 2 Judge Position 1","WRITE-IN"," ","65","2.2815","Judicial"
"Adams","Adams District Court Judge Position 1","Andrea Russell","","2927","97.893","County"
"Adams","Adams District Court Judge Position 1","WRITE-IN"," ","63","2.107","County"
"Adams","Adams District Court Judge Position 2","Carolyn J. Benzel","","3044","98.067","County"
"Adams","Adams District Court Judge Position 2","WRITE-IN"," ","60","1.933","County"
"Adams","HOSPITAL DISTRICT 2 EMS Levy","Approved"," ","1189","67.3273","Hospital"
"Adams","HOSPITAL DISTRICT 2 EMS Levy","Rejected"," ","577","32.6727","Hospital"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Approved"," ","7","100","Fire"
"Adams","FIRE DISTRICT 4 Maintenance and Operation Levy","Rejected"," ","0","0","Fire"
"Adams","WASHTUCNA PARK AND RECREATION 2 Maintenance and Operation Levy","Approved"," ","89","51.4451","Park and Recreation"
"Adams","WASHTUCNA PARK AND RECREATION 2 Maintenance and Operation Levy","Rejected"," ","84","48.5549","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Maintenance and Operation Levy","Approved"," ","259","65.0754","Park and Recreation"
"Adams","LIND PARK AND RECREATION 3 Maintenance and Operation Levy","Rejected"," ","139","34.9246","Park and Recreation"
"Adams","CEMETERY DISTRICT 1 Maintenance and Operation Levy","Approved"," ","126","73.6842","Cemetery"
"Adams","CEMETERY DISTRICT 1 Maintenance and Operation Levy","Reject"," ","45","26.3158","Cemetery"
"Adams","CEMETERY DISTRICT 3 Maintenance and Operation Levy","Approved"," ","227","57.3232","Cemetery"
"Adams","CEMETERY DISTRICT 3 Maintenance and Operation Levy","Rejected"," ","169","42.6768","Cemetery"
"Asotin","Washington State Advisory Vote No. 39","Repealed"," ","6544","75.3396","State Executive"
"Asotin","Washington State Advisory Vote No. 39","Maintained"," ","2142","24.6604","State Executive"
"Asotin","Washington State Advisory Vote No. 40","Repealed"," ","5651","65.39","State Executive"
"Asotin","Washington State Advisory Vote No. 40","Maintained"," ","2991","34.61","State Executive"
"Asotin","CITY OF CLARKSTON Emergency Medical Services Excess Tax Levy","Yes, Levy"," ","1361","68.9463","City/Town"
"Asotin","CITY OF CLARKSTON Emergency Medical Services Excess Tax Levy","No, Levy"," ","613","31.0537","City/Town"
"Asotin","United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","3181","35.2739","Federal"
"Asotin","United States U.S. Senator","Tiffany Smiley","(Prefers Republican Party)","5824","64.5819","Federal"
"Asotin","United States U.S. Senator","WRITE-IN"," ","13","0.1442","Federal"
"Asotin","CONGRESSIONAL DISTRICT 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","6041","67.1073","Congressional"
"Asotin","CONGRESSIONAL DISTRICT 5 U.S. Representative","Natasha Hill","(Prefers Democratic Party)","2939","32.6483","Congressional"
"Asotin","CONGRESSIONAL DISTRICT 5 U.S. Representative","WRITE-IN"," ","22","0.2444","Congressional"
"Asotin","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","2863","33.2675","State Executive"
"Asotin","Washington State Secretary of State","Julie Anderson","(Prefers Nonpartisan Party)","5545","64.4318","State Executive"
"Asotin","Washington State Secretary of State","WRITE-IN"," ","198","2.3007","State Executive"
"Asotin","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican Party)","6679","95.2646","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","332","4.7354","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)","6416","95.0237","Legislative"
"Asotin","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","336","4.9763","Legislative"
"Asotin","Asotin COUNTY ASSESSOR","Jenny L. Rynearson","(Prefers Republican Party)","6649","95.9313","County"
"Asotin","Asotin COUNTY ASSESSOR","WRITE-IN"," ","282","4.0687","County"
"Asotin","Asotin COUNTY AUDITOR","Darla McKay","(States No Party Preference)","6887","98.4701","County"
"Asotin","Asotin COUNTY AUDITOR","WRITE-IN"," ","107","1.5299","County"
"Asotin","Asotin COUNTY CLERK","McKenzie A. Campbell","(States No Party Preference)","6727","98.8393","County"
"Asotin","Asotin COUNTY CLERK","WRITE-IN"," ","79","1.1607","County"
"Asotin","Asotin COUNTY PROSECUTOR","Benjamin C. Nichols","(States No Party Preference)","6647","97.0507","County"
"Asotin","Asotin COUNTY PROSECUTOR","WRITE-IN"," ","202","2.9493","County"
"Asotin","Asotin COUNTY SHERIFF","John Hilderbrand","(States No Party Preference)","6940","97.912","County"
"Asotin","Asotin COUNTY SHERIFF","WRITE-IN"," ","148","2.088","County"
"Asotin","Asotin COUNTY TREASURER","Holly Steiner","(States No Party Preference)","6691","98.9061","County"
"Asotin","Asotin COUNTY TREASURER","WRITE-IN"," ","74","1.0939","County"
"Asotin","Asotin COUNTY COMMISSIONER 3","Chuck Whitman","(Prefers Republican Party)","6409","95.7854","County"
"Asotin","Asotin COUNTY COMMISSIONER 3","WRITE-IN"," ","282","4.2146","County"
"Asotin","SUPREME COURT Justice Position #01","Mary I. Yu"," ","6058","96.959","Judicial"
"Asotin","SUPREME COURT Justice Position #01","WRITE-IN"," ","190","3.041","Judicial"
"Asotin","SUPREME COURT Justice Position #05","Barbara Madsen"," ","6149","97.6962","Judicial"
"Asotin","SUPREME COURT Justice Position #05","WRITE-IN"," ","145","2.3038","Judicial"
"Asotin","SUPREME COURT Justice Position #06","G. Helen Whitener"," ","6123","97.6399","Judicial"
"Asotin","SUPREME COURT Justice Position #06","WRITE-IN"," ","148","2.3601","Judicial"
"Asotin","Court of Appeals, Division 3, District 2 Judge Position 1","George Fearing"," ","6151","98.2274","Judicial"
"Asotin","Court of Appeals, Division 3, District 2 Judge Position 1","WRITE-IN"," ","111","1.7726","Judicial"
"Asotin","Asotin DISTRICT COURT JUDGE","Tina L. Kernan","","6403","98.4168","County"
"Asotin","Asotin DISTRICT COURT JUDGE","WRITE-IN"," ","103","1.5832","County"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 3","Greg McCall","","4226","98.7614","Public Utility"
"Asotin","PUBLIC UTILITY DISTRICT PUBLIC UTILITY COMMISSIONER 3","WRITE-IN"," ","53","1.2386","Public Utility"
"Benton","Washington State Advisory Vote No. 39","Repealed"," ","53403","75.2218","State Executive"
"Benton","Washington State Advisory Vote No. 39","Maintained"," ","17591","24.7782","State Executive"
"Benton","Washington State Advisory Vote No. 40","Repealed"," ","48145","68.0101","State Executive"
"Benton","Washington State Advisory Vote No. 40","Maintained"," ","22646","31.9899","State Executive"
"Benton","United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","25513","33.681","Federal"
"Benton","United States U.S. Senator","Tiffany Smiley","(Prefers Republican Party)","50108","66.15","Federal"
"Benton","United States U.S. Senator","WRITE-IN"," ","128","0.169","Federal"
"Benton","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","50939","68.217","Congressional"
"Benton","Congressional District 4 U.S. Representative","Doug White","(Prefers Democratic Party)","22161","29.6778","Congressional"
"Benton","Congressional District 4 U.S. Representative","WRITE-IN"," ","1572","2.1052","Congressional"
"Benton","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","22626","30.9504","State Executive"
"Benton","Washington State Secretary of State","Julie Anderson","(Prefers Nonpartisan Party)","40978","56.0544","State Executive"
"Benton","Washington State Secretary of State","WRITE-IN"," ","9500","12.9952","State Executive"
"Benton","Legislative District 8 State Senator","Matt Boehnke","(Prefers Republican Party)","30231","71.5713","Legislative"
"Benton","Legislative District 8 State Senator","Ronni Batchelor","(Prefers Independent Party)","11888","28.1446","Legislative"
"Benton","Legislative District 8 State Senator","WRITE-IN"," ","120","0.2841","Legislative"
"Benton","Legislative District 8 State Representative Pos. 1","Stephanie Barnard","(Prefers Republican Party)","27968","72.8447","Legislative"
"Benton","Legislative District 8 State Representative Pos. 1","Patrick Guettner","(Prefers Republican Party)","9615","25.043","Legislative"
"Benton","Legislative District 8 State Representative Pos. 1","WRITE-IN"," ","811","2.1123","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","April Connors","(Prefers Republican Party)","22384","56.7431","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","Joe Cotta","(Prefers Republican Party)","16254","41.2036","Legislative"
"Benton","Legislative District 8 State Representative Pos. 2","WRITE-IN"," ","810","2.0533","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Senator","Nikki Torres","(Prefers Republican Party)","478","76.7255","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Senator","Lindsey Keesling","(Prefers Democratic Party)","143","22.9535","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Senator","WRITE-IN"," ","2","0.321","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","Bruce Chandler","(Prefers Republican Party)","468","97.9079","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 1","WRITE-IN"," ","10","2.0921","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","Bryan Sandlin","(Prefers Republican Party)","472","98.3333","Legislative"
"Benton","LEGISLATIVE DISTRICT 15 State Representative Pos. 2","WRITE-IN"," ","8","1.6667","Legislative"
"Benton","Legislative District 16 State Representative Pos. 1","Mark Klicker","(Prefers Republican Party)","22549","73.1066","Legislative"
"Benton","Legislative District 16 State Representative Pos. 1","Jeff Strickler","(Prefers Democratic Party)","8260","26.7799","Legislative"
"Benton","Legislative District 16 State Representative Pos. 1","WRITE-IN"," ","35","0.1135","Legislative"
"Benton","Legislative District 16 State Representative Pos. 2","Skyler Rude","(Prefers Republican Party)","23170","75.3569","Legislative"
"Benton","Legislative District 16 State Representative Pos. 2","Jan Corn","(Prefers Democratic Party)","7534","24.5032","Legislative"
"Benton","Legislative District 16 State Representative Pos. 2","WRITE-IN"," ","43","0.1399","Legislative"
"Benton","Benton Assessor","Bill Spencer","(Prefers Republican Party)","54920","97.4433","County"
"Benton","Benton Assessor","WRITE-IN"," ","1441","2.5567","County"
"Benton","Benton Auditor","Brenda Chilton","(Prefers Republican Party)","56435","98.0336","County"
"Benton","Benton Auditor","WRITE-IN"," ","1132","1.9664","County"
"Benton","Benton Clerk","Josie Delvin","(Prefers Republican Party)","54913","97.4931","County"
"Benton","Benton Clerk","WRITE-IN"," ","1412","2.5069","County"
"Benton","Benton Commissioner District #2","MICHAEL ALVAREZ","(Prefers REPUBLICAN Party)","43425","65.0952","County"
"Benton","Benton Commissioner District #2","William &quot;Bill&quot; Jenkin","(Prefers Republican Party)","22277","33.3938","County"
"Benton","Benton Commissioner District #2","WRITE-IN"," ","1008","1.511","County"
"Benton","Benton Coroner","William &quot;Bill&quot; Leach","(Prefers Republican Party)","55102","98.2245","County"
"Benton","Benton Coroner","WRITE-IN"," ","996","1.7755","County"
"Benton","Benton Prosecuting Attorney","Eric Eisinger","(Prefers Republican Party)","34630","51.0165","County"
"Benton","Benton Prosecuting Attorney","Ryan Lukson","(Prefers Republican Party)","32476","47.8433","County"
"Benton","Benton Prosecuting Attorney","WRITE-IN"," ","774","1.1402","County"
"Benton","Benton Sheriff","Thomas J Croskrey","(Prefers Republican Party)","54270","97.8755","County"
"Benton","Benton Sheriff","WRITE-IN"," ","1178","2.1245","County"
"Benton","Benton Treasurer","Kenneth Spencer Jr","(Prefers Republican Party)","52499","97.9422","County"
"Benton","Benton Treasurer","WRITE-IN"," ","1103","2.0578","County"
"Benton","SUPREME COURT Justice Position #01","Mary I. Yu"," ","48708","97.7582","Judicial"
"Benton","SUPREME COURT Justice Position #01","WRITE-IN"," ","1117","2.2418","Judicial"
"Benton","SUPREME COURT Justice Position #05","Barbara Madsen"," ","49053","98.3243","Judicial"
"Benton","SUPREME COURT Justice Position #05","WRITE-IN"," ","836","1.6757","Judicial"
"Benton","SUPREME COURT Justice Position #06","G. Helen Whitener"," ","48807","98.2784","Judicial"
"Benton","SUPREME COURT Justice Position #06","WRITE-IN"," ","855","1.7216","Judicial"
"Benton","Court of Appeals, Division 3, District 2 Judge Position 1","George Fearing"," ","48966","98.6422","Judicial"
"Benton","Court of Appeals, Division 3, District 2 Judge Position 1","WRITE-IN"," ","674","1.3578","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 4","George F. Cicotte"," ","30459","44.8091","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 4","Norma Rodriguez"," ","37319","54.9011","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 4","WRITE-IN"," ","197","0.2898","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 6","Jacqueline I. Stam"," ","49400","98.8","Judicial"
"Benton","Benton, Franklin Superior Court Judge Position 6","WRITE-IN"," ","600","1.2","Judicial"
"Benton","Benton District Court Judge 1","Terry M. Tanner","","47276","98.2154","County"
"Benton","Benton District Court Judge 1","WRITE-IN"," ","859","1.7846","County"
"Benton","Benton District Court Judge 2","James (Jim) Bell","","49018","98.8804","County"
"Benton","Benton District Court Judge 2","WRITE-IN"," ","555","1.1196","County"
"Benton","Benton District Court Judge 3","Dan Kathren","","47531","98.3794","County"
"Benton","Benton District Court Judge 3","WRITE-IN"," ","783","1.6206","County"
"Benton","Benton District Court Judge 4","John S. Ziobro","","48933","98.8446","County"
"Benton","Benton District Court Judge 4","WRITE-IN"," ","572","1.1554","County"
"Benton","Benton District Court Judge 5","Jennifer (Lampson) Azure","","49446","98.9514","County"
"Benton","Benton District Court Judge 5","WRITE-IN"," ","524","1.0486","County"
"Benton","BENTON COUNTY PUD Commissioner 1","Lori Sanders","","28096","98.6794","Public Utility"
"Benton","BENTON COUNTY PUD Commissioner 1","WRITE-IN"," ","376","1.3206","Public Utility"
"Benton","City Of Prosser Proposition 1","YES"," ","258","14.1836","City/Town"
"Benton","City Of Prosser Proposition 1","NO"," ","1561","85.8164","City/Town"
"Chelan","Washington State Advisory Vote No. 39","Repealed"," ","22490","70.1738","State Executive"
"Chelan","Washington State Advisory Vote No. 39","Maintained"," ","9559","29.8262","State Executive"
"Chelan","Washington State Advisory Vote No. 40","Repealed"," ","19953","63.3408","State Executive"
"Chelan","Washington State Advisory Vote No. 40","Maintained"," ","11548","36.6592","State Executive"
"Chelan","United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","14373","41.9368","Federal"
"Chelan","United States U.S. Senator","Tiffany Smiley","(Prefers Republican Party)","19833","57.8677","Federal"
"Chelan","United States U.S. Senator","WRITE-IN"," ","67","0.1955","Federal"
"Chelan","Congressional District 8 U.S. Representative","Kim Schrier","(Prefers Democratic Party)","15855","46.497","Congressional"
"Chelan","Congressional District 8 U.S. Representative","Matt Larkin","(Prefers Republican Party)","18113","53.1189","Congressional"
"Chelan","Congressional District 8 U.S. Representative","WRITE-IN"," ","131","0.3842","Congressional"
"Chelan","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","11885","36.4347","State Executive"
"Chelan","Washington State Secretary of State","Julie Anderson","(Prefers Nonpartisan Party)","19026","58.3262","State Executive"
"Chelan","Washington State Secretary of State","WRITE-IN"," ","1709","5.2391","State Executive"
"Chelan","Legislative District 12 State Representative Pos. 1","Keith W. Goehner","(Prefers Republican Party)","23990","96.7456","Legislative"
"Chelan","Legislative District 12 State Representative Pos. 1","WRITE-IN"," ","807","3.2544","Legislative"
"Chelan","Legislative District 12 State Representative Pos. 2","Mike Steele","(Prefers Republican Party)","24329","86.0533","Legislative"
"Chelan","Legislative District 12 State Representative Pos. 2","Robert K Amenn","(Prefers Republican Party)","3378","11.9482","Legislative"
"Chelan","Legislative District 12 State Representative Pos. 2","WRITE-IN"," ","565","1.9984","Legislative"
"Chelan","Chelan ASSESSOR","Deanna C Walter","(Prefers Republican Party)","23377","97.6116","County"
"Chelan","Chelan ASSESSOR","WRITE-IN"," ","572","2.3884","County"
"Chelan","Chelan AUDITOR","Skip Moore","(Prefers Republican Party)","23915","97.8439","County"
"Chelan","Chelan AUDITOR","WRITE-IN"," ","527","2.1561","County"
"Chelan","Chelan CLERK","Sandra Arechiga","(Prefers Independent Party)","15978","49.1706","County"
"Chelan","Chelan CLERK","Marty (Martin) Young","(Prefers Republican Party)","16456","50.6416","County"
"Chelan","Chelan CLERK","WRITE-IN"," ","61","0.1877","County"
"Chelan","CHELAN COUNTY COMMISSIONER DISTRICT NO.  2","Anne Hessburg","(Prefers Independent Party)","16505","49.428","County"
"Chelan","CHELAN COUNTY COMMISSIONER DISTRICT NO.  2","Shon D. Smith","(Prefers Republican Party)","16833","50.4103","County"
"Chelan","CHELAN COUNTY COMMISSIONER DISTRICT NO.  2","WRITE-IN"," ","54","0.1617","County"
"Chelan","Chelan CORONER","Wayne E. Harris","(Prefers Republican Party)","23549","98.3421","County"
"Chelan","Chelan CORONER","WRITE-IN"," ","397","1.6579","County"
"Chelan","Chelan PROSECUTING ATTORNEY","Robert W. Sealby","(Prefers Republican Party)","22774","98.2315","County"
"Chelan","Chelan PROSECUTING ATTORNEY","WRITE-IN"," ","410","1.7685","County"
"Chelan","Chelan SHERIFF","Brian Burnett","(Prefers Republican Party)","14358","45.0758","County"
"Chelan","Chelan SHERIFF","Mike Morrison","(Prefers Republican Party)","17300","54.312","County"
"Chelan","Chelan SHERIFF","WRITE-IN"," ","195","0.6122","County"
"Chelan","Chelan TREASURER","David E Griffiths","(Prefers Republican Party)","22776","98.3377","County"
"Chelan","Chelan TREASURER","WRITE-IN"," ","385","1.6623","County"
"Chelan","SUPREME COURT Justice Position #01","Mary I. Yu"," ","20353","97.9027","Judicial"
"Chelan","SUPREME COURT Justice Position #01","WRITE-IN"," ","436","2.0973","Judicial"
"Chelan","SUPREME COURT Justice Position #05","Barbara Madsen"," ","20356","98.5286","Judicial"
"Chelan","SUPREME COURT Justice Position #05","WRITE-IN"," ","304","1.4714","Judicial"
"Chelan","SUPREME COURT Justice Position #06","G. Helen Whitener"," ","20214","98.4656","Judicial"
"Chelan","SUPREME COURT Justice Position #06","WRITE-IN"," ","315","1.5344","Judicial"
"Chelan","Chelan Superior Court Judge Position 1","Robert E. Jourdan"," ","20132","98.7977","Judicial"
"Chelan","Chelan Superior Court Judge Position 1","WRITE-IN"," ","245","1.2023","Judicial"
"Chelan","Chelan DISTRICT COURT JUDGE #1","Allen F. Blackmon","","13755","47.3673","County"
"Chelan","Chelan DISTRICT COURT JUDGE #1","Jon Volyn","","15185","52.2917","County"
"Chelan","Chelan DISTRICT COURT JUDGE #1","WRITE-IN"," ","99","0.3409","County"
"Chelan","Chelan DISTRICT COURT JUDGE #2","Kyle Mott","","20128","98.2429","County"
"Chelan","Chelan DISTRICT COURT JUDGE #2","WRITE-IN"," ","360","1.7571","County"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER DIST 3","Aurora Flores","","12722","44.4421","Public Utility"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER DIST 3","Carnan Bergren","","15798","55.1876","Public Utility"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER DIST 3","WRITE-IN"," ","106","0.3703","Public Utility"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER B","Kelly Allen","","20544","98.7882","Public Utility"
"Chelan","PUD ALL PUBLIC UTILITY DIST COMMISSIONER B","WRITE-IN"," ","252","1.2118","Public Utility"
"Chelan","CHIWAWA MOSQUITO DISTRICT Proposition No. 1","Yes"," ","114","77.027","MOS"
"Chelan","CHIWAWA MOSQUITO DISTRICT Proposition No. 1","No"," ","34","22.973","MOS"
"Chelan","CHIWAWA MOSQUITO DISTRICT Proposition No. 2","Yes"," ","104","70.2703","MOS"
"Chelan","CHIWAWA MOSQUITO DISTRICT Proposition No. 2","No"," ","44","29.7297","MOS"
"Clallam","Washington State Advisory Vote No. 39","Repealed"," ","23863","62.521","State Executive"
"Clallam","Washington State Advisory Vote No. 39","Maintained"," ","14305","37.479","State Executive"
"Clallam","Washington State Advisory Vote No. 40","Repealed"," ","20732","54.4776","State Executive"
"Clallam","Washington State Advisory Vote No. 40","Maintained"," ","17324","45.5224","State Executive"
"Clallam","United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","20784","51.6001","Federal"
"Clallam","United States U.S. Senator","Tiffany Smiley","(Prefers Republican Party)","19401","48.1665","Federal"
"Clallam","United States U.S. Senator","WRITE-IN"," ","94","0.2334","Federal"
"Clallam","CONGRESSIONAL DISTRICT 6 U.S. Representative","Derek Kilmer","(Prefers Democratic Party)","22146","54.6936","Congressional"
"Clallam","CONGRESSIONAL DISTRICT 6 U.S. Representative","Elizabeth Kreiselmaier","(Prefers Republican Party)","18315","45.2323","Congressional"
"Clallam","CONGRESSIONAL DISTRICT 6 U.S. Representative","WRITE-IN"," ","30","0.0741","Congressional"
"Clallam","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","18111","45.9274","State Executive"
"Clallam","Washington State Secretary of State","Julie Anderson","(Prefers Nonpartisan Party)","19685","49.9189","State Executive"
"Clallam","Washington State Secretary of State","WRITE-IN"," ","1638","4.1538","State Executive"
"Clallam","LEGISLATIVE DISTRICT 24 State Representative Pos. 1","Mike Chapman","(Prefers Democratic Party)","21469","53.1806","Legislative"
"Clallam","LEGISLATIVE DISTRICT 24 State Representative Pos. 1","Sue Forde","(Prefers Republican Party)","18867","46.7352","Legislative"
"Clallam","LEGISLATIVE DISTRICT 24 State Representative Pos. 1","WRITE-IN"," ","34","0.0842","Legislative"
"Clallam","LEGISLATIVE DISTRICT 24 State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)","20758","51.5368","Legislative"
"Clallam","LEGISLATIVE DISTRICT 24 State Representative Pos. 2","Brian Pruiett","(Prefers Republican Party)","19496","48.4036","Legislative"
"Clallam","LEGISLATIVE DISTRICT 24 State Representative Pos. 2","WRITE-IN"," ","24","0.0596","Legislative"
"Clallam","Clallam Assessor","Pamela R. Rushton","","26105","98.2536","County"
"Clallam","Clallam Assessor","WRITE-IN"," ","464","1.7464","County"
"Clallam","Clallam Auditor","Shoona Riggs","","26215","97.6714","County"
"Clallam","Clallam Auditor","WRITE-IN"," ","625","2.3286","County"
"Clallam","Clallam County Commissioner Dist. No. 3","Bill Peach","(Prefers Republican Party)","19299","48.3164","County"
"Clallam","Clallam County Commissioner Dist. No. 3","Mike French","(Prefers Democratic Party)","20577","51.5159","County"
"Clallam","Clallam County Commissioner Dist. No. 3","WRITE-IN"," ","67","0.1677","County"
"Clallam","Clallam Director of Community Development","Bruce Emery","","24175","65.1266","County"
"Clallam","Clallam Director of Community Development","Cherie Kidd","","12804","34.4935","County"
"Clallam","Clallam Director of Community Development","WRITE-IN"," ","141","0.3798","County"
"Clallam","Clallam Prosecuting Attorney","Mark Nichols","","25180","98.2098","County"
