"County","Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Adams","Washington State Advisory Vote No. 39","Repealed"," ","3260","83.9125","State Executive"
"Adams","Washington State Advisory Vote No. 39","Maintained"," ","625","16.0875","State Executive"
"Adams","Washington State Advisory Vote No. 40","Repealed"," ","3010","77.8986","State Executive"
"Adams","Washington State Advisory Vote No. 40","Maintained"," ","854","22.1014","State Executive"
"Adams","United States U.S. Senator","Patty Murray","(Prefers Democratic Party)","969","23.4568","Federal"
"Adams","United States U.S. Senator","Tiffany Smiley","(Prefers Republican Party)","3150","76.2527","Federal"
"Adams","United States U.S. Senator","WRITE-IN"," ","12","0.2905","Federal"
"Adams","Congressional District 4 U.S. Representative","Dan Newhouse","(Prefers Republican Party)","1435","72.9537","Congressional"
"Adams","Congressional District 4 U.S. Representative","Doug White","(Prefers Democratic Party)","492","25.0127","Congressional"
"Adams","Congressional District 4 U.S. Representative","WRITE-IN"," ","40","2.0336","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)","1752","83.0725","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","Natasha Hill","(Prefers Democratic Party)","345","16.3585","Congressional"
"Adams","CONGRESSIONAL DISTRICT 5 U.S. Representative","WRITE-IN"," ","12","0.569","Congressional"
"Adams","Washington State Secretary of State","Steve Hobbs","(Prefers Democratic Party)","926","24.0582","State Executive"
"Adams","Washington State Secretary of State","Julie Anderson","(Prefers Nonpartisan Party)","2721","70.6937","State Executive"
"Adams","Washington State Secretary of State","WRITE-IN"," ","202","5.2481","State Executive"
"Adams","Legislative District 9 State Representative Pos. 1","Mary Dye","(Prefers Republican Party)","1591","98.2099","Legislative"
"Adams","Legislative District 9 State Representative Pos. 1","WRITE-IN"," ","29","1.7901","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","Joe Schmick","(Prefers GOP Party)","1560","97.9899","Legislative"
"Adams","Legislative District 9 State Representative Pos. 2","WRITE-IN"," ","32","2.0101","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Senator","Nikki Torres","(Prefers Republican Party)","1728","78.2609","Legislative"
"Adams","LEGISLATIVE DISTRICT 15 State Senator","Lindsey Keesling","(Prefers Democratic Party)","472","21.3768","Legislative"
